userID,SCHEME,# of Logins,# of Success,# of Failure,Average Login Time,Average Login Success Time,Average Login Failure Time
ipt101,testpasstiles,31,15,16,0:00:20,0:00:11,0:00:28
ipt104,testpasstiles,11,11,0,0:00:22,0:00:22,0
ipt105,testpasstiles,21,14,7,0:00:11,0:00:09,0:00:15
ipt106,testpasstiles,20,14,6,4:23:55,6:16:57,0:00:10
ipt109,testpasstiles,14,14,0,0:00:24,0:00:24,0
ipt110,testpasstiles,18,14,4,0:00:18,0:00:11,0:00:42
ipt113,testpasstiles,28,16,12,0:00:10,0:00:11,0:00:09
ipt119,testpasstiles,17,15,2,0:00:14,0:00:14,0:00:09
ipt131,testpasstiles,14,11,3,0:00:39,0:00:37,0:00:46
ipt133,testpasstiles,15,14,1,4:47:14,5:07:45,0:00:06
ipt134,testpasstiles,19,14,5,0:00:28,0:00:22,0:00:46
ipt136,testpasstiles,17,14,3,0:00:13,0:00:13,0:00:17
ipt137,testpasstiles,19,15,4,0:00:20,0:00:20,0:00:22
ipt143,testpasstiles,17,14,3,4:07:17,5:00:13,0:00:16
ipt145,testpasstiles,15,14,1,0:00:25,0:00:25,0:00:34

ast103,testtextrandom,16,15,1,0:00:13,0:00:13,0:00:18
ast104,testtextrandom,25,15,10,0:00:12,0:00:11,0:00:14
ast105,testtextrandom,14,11,3,0:00:07,0:00:07,0:00:08
ast107,testtextrandom,20,14,6,0:00:06,0:00:05,0:00:07
ast108,testtextrandom,18,18,0,0:00:04,0:00:04,0
ast111,testtextrandom,19,11,8,0:00:17,0:00:22,0:00:09
ast112,testtextrandom,14,14,0,0:00:08,0:00:08,0
ast114,testtextrandom,21,14,7,0:00:11,0:00:11,0:00:10
ast115,testtextrandom,14,14,0,0:00:12,0:00:12,0
ast116,testtextrandom,14,14,0,0:00:06,0:00:06,0
ast118,testtextrandom,15,14,1,0:00:08,0:00:08,0:00:09
ast125,testtextrandom,17,14,3,0:00:06,0:00:06,0:00:06
ast131,testtextrandom,20,14,6,0:00:15,0:00:12,0:00:23
ast133,testtextrandom,8,8,0,0:00:15,0:00:15,0
ast134,testtextrandom,14,14,0,0:00:07,0:00:07,0
ast135,testtextrandom,3,2,1,0:00:06,0:00:07,0:00:05
ast136,testtextrandom,14,14,0,0:00:11,0:00:11,0
ast138,testtextrandom,15,15,0,0:00:16,0:00:16,0
