userID,SCHEME,# of Logins,# of Success,# of Failure,Average Login Time,Average Login Success Time,Average Login Failure Time
ast103,testtextrandom,16,15,1,0:00:13,0:00:13,0:00:18
ast114,testtextrandom,21,14,7,0:00:11,0:00:11,0:00:10
ast116,testtextrandom,14,14,0,0:00:06,0:00:06,0
ast107,testtextrandom,20,14,6,0:00:06,0:00:05,0:00:07
ast111,testtextrandom,19,11,8,0:00:17,0:00:22,0:00:09
ast105,testtextrandom,14,11,3,0:00:07,0:00:07,0:00:08
ast104,testtextrandom,25,15,10,0:00:12,0:00:11,0:00:14
ast136,testtextrandom,14,14,0,0:00:11,0:00:11,0
ast108,testtextrandom,18,18,0,0:00:04,0:00:04,0
ast118,testtextrandom,15,14,1,0:00:08,0:00:08,0:00:09
ast138,testtextrandom,15,15,0,0:00:16,0:00:16,0
ast115,testtextrandom,14,14,0,0:00:12,0:00:12,0
ast133,testtextrandom,8,8,0,0:00:15,0:00:15,0
ast131,testtextrandom,20,14,6,0:00:15,0:00:12,0:00:23
ast125,testtextrandom,17,14,3,0:00:06,0:00:06,0:00:06
ast112,testtextrandom,14,14,0,0:00:08,0:00:08,0
ast134,testtextrandom,14,14,0,0:00:07,0:00:07,0
ast135,testtextrandom,3,2,1,0:00:06,0:00:07,0:00:05
